row,model,px,py,pz,ux,uy,uz,k,cost,nfev,status
95,biot,0.1610902063,0.1052942011,0.1543042207,0.0222747069,-0.4041110654,0.9144386717,0.9996738270,0.0000504864,5,1
96,biot,0.0018062718,0.1423068332,0.1557491501,0.0049473733,-0.4134535635,0.9105117650,0.9995552904,0.0000502319,5,1
97,biot,0.0337418250,0.1411394477,0.1568942480,0.0135249788,-0.4046971382,0.9143507540,0.9995364531,0.0000501287,5,1
98,biot,0.0656471629,0.1410328067,0.1563687584,0.0056176356,-0.4118399699,0.9112388718,0.9995588701,0.0000500373,5,1
99,biot,0.0976715149,0.1395030711,0.1561148769,0.0176426270,-0.3978832954,0.9172663849,0.9995928097,0.0000502398,5,1
100,biot,0.1296017084,0.1382834565,0.1542831226,0.0179512654,-0.3983635720,0.9170519160,0.9996748379,0.0000504731,5,1
101,biot,0.1606853707,0.1364879768,0.1520649656,0.0157016464,-0.4018084308,0.9155891236,0.9997944054,0.0000507271,5,1
102,biot,0.0033449393,0.1730767489,0.1524389976,0.0042234688,-0.4140740886,0.9102333830,0.9997096564,0.0000505686,5,1
103,biot,0.0347293960,0.1725077054,0.1528902421,0.0028755893,-0.4127023108,0.9108614240,0.9997066870,0.0000504949,5,1
104,biot,0.0662910759,0.1715619186,0.1528795816,0.0001903973,-0.4136463650,0.9104376137,0.9997277646,0.0000504535,5,1
105,biot,0.0978207272,0.1698905106,0.1528141531,0.0165814076,-0.4033336532,0.9149027386,0.9997585153,0.0000506282,5,1
106,biot,0.1291132967,0.1685282210,0.1512403996,0.0167868043,-0.3966392905,0.9178210482,0.9998311118,0.0000507466,5,1
107,biot,0.1592491750,0.1660158379,0.1494682435,0.0204075854,-0.3970478143,0.9175710129,0.9999465609,0.0000509720,5,1
108,biot,-0.0038494250,0.0112914365,0.1301647012,0.0182421811,-0.4032344556,0.9149148576,0.9993124841,0.0000484393,5,1
109,biot,0.0294497310,0.0100227141,0.1319009249,0.0157071454,-0.4026534616,0.9152177202,0.9992512752,0.0000479227,5,1
110,biot,0.0632841479,0.0091140338,0.1321328829,0.0216703171,-0.4015800191,0.9155675211,0.9992471003,0.0000477952,5,1
111,biot,0.0971934832,0.0087123693,0.1309601928,0.0194918077,-0.4024836997,0.9152196135,0.9993158628,0.0000480947,5,1
112,biot,0.1301374187,0.0086618005,0.1280781085,0.0148840096,-0.4011903643,0.9158737674,0.9994488777,0.0000488377,5,1
113,biot,0.1617632155,0.0090174825,0.1234903532,0.0165460664,-0.4007354888,0.9160443743,0.9996193446,0.0000497161,5,1
114,biot,-0.0034532969,0.0459739243,0.1304498497,0.0069685936,-0.4119898603,0.9111617824,0.9993011430,0.0000484340,5,1
115,biot,0.0302436272,0.0449662941,0.1322964239,0.0054962550,-0.4125423585,0.9109218373,0.9992254355,0.0000478856,5,1
116,biot,0.0639821847,0.0441480003,0.1328714484,0.0128561961,-0.4041476701,0.9146033998,0.9992180664,0.0000477426,5,1
117,biot,0.0978926043,0.0431292327,0.1315737361,0.0145629693,-0.4038144159,0.9147250064,0.9992951164,0.0000480937,5,1
118,biot,0.1310444311,0.0423038913,0.1283659983,0.0169748065,-0.3984401270,0.9170372518,0.9994456006,0.0000488306,5,1
119,biot,0.1623066251,0.0415330954,0.1240155352,0.0209485490,-0.4037095866,0.9146473244,0.9996316654,0.0000496477,5,1
120,biot,-0.0024212465,0.0793739397,0.1298751675,0.0033345845,-0.4171850957,0.9088154248,0.9993541440,0.0000487504,5,1
121,biot,0.0310720125,0.0790739103,0.1310705609,0.0045620985,-0.4144927443,0.9100411816,0.9992818008,0.0000482675,5,1
122,biot,0.0645427793,0.0777934925,0.1317165079,0.0166848307,-0.4020431495,0.9154686900,0.9992731869,0.0000482181,5,1
123,biot,0.0981580672,0.0767429504,0.1303701710,0.0144445674,-0.4028131013,0.9151682686,0.9993496985,0.0000484401,5,1
124,biot,0.1312286648,0.0753121603,0.1273709229,0.0168786364,-0.4006815656,0.9160618945,0.9995012760,0.0000489811,5,1
125,biot,0.1626324233,0.0738373909,0.1229328391,0.0196921105,-0.4034123240,0.9148063826,0.9996909806,0.0000496598,5,1
126,biot,-0.0009230444,0.1120317180,0.1277849933,0.0031978363,-0.4115524420,0.9113804701,0.9994674698,0.0000491539,5,1
127,biot,0.0321434453,0.1116925423,0.1286687138,0.0022721783,-0.4178289388,0.9085228754,0.9994212320,0.0000487442,5,1
128,biot,0.0648874307,0.1113227970,0.1286406435,0.0037339501,-0.4137601982,0.9103782489,0.9994252587,0.0000486641,5,1
129,biot,0.0978283393,0.1103079443,0.1276503704,0.0044426829,-0.4147957229,0.9099037152,0.9994949017,0.0000487952,5,1
130,biot,0.1307834149,0.1075482655,0.1257772342,0.0189745903,-0.4005921283,0.9160599935,0.9996157332,0.0000494359,5,1
131,biot,0.1619747409,0.1056302214,0.1216434323,0.0187298307,-0.3986301960,0.9169204765,0.9997865003,0.0000500023,5,1
132,biot,0.0010980937,0.1436292963,0.1244476937,0.0032982583,-0.4128495769,0.9107932522,0.9996353997,0.0000497841,5,1
133,biot,0.0332186503,0.1434839397,0.1249963250,0.0070738341,-0.4094746924,0.9122940519,0.9996134209,0.0000495634,5,1
134,biot,0.0654119253,0.1427532870,0.1245964735,0.0013754959,-0.4131639392,0.9106556250,0.9996307323,0.0000494336,5,1
135,biot,0.0975600899,0.1408598837,0.1249681346,0.0190182201,-0.3969165437,0.9176576511,0.9996676988,0.0000496980,5,1
136,biot,0.1297981488,0.1390875130,0.1229456983,0.0193537357,-0.3991503194,0.9166812180,0.9997699433,0.0000500022,5,1
137,biot,0.1607534652,0.1365834448,0.1197552028,0.0179797548,-0.4025016530,0.9152426715,0.9999165318,0.0000503830,5,1
138,biot,0.0031380301,0.1735664085,0.1204860760,0.0016192854,-0.4141796519,0.9101937123,0.9998364146,0.0000502872,5,1
139,biot,0.0344902429,0.1730553805,0.1205451548,0.0023267260,-0.4128271747,0.9108064065,0.9998331267,0.0000501495,5,1
140,biot,0.0657871719,0.1724563838,0.1200953069,0.0044416932,-0.4157988054,0.9094457789,0.9998600311,0.0000500728,5,1
141,biot,0.0969843650,0.1711714362,0.1196488711,0.0032165525,-0.4186457989,0.9081439032,0.9999091081,0.0000501286,5,1
142,biot,0.1282993591,0.1693277218,0.1182495260,0.0042454902,-0.4197997373,0.9076068292,0.9999903422,0.0000502815,5,1
143,biot,0.1585779206,0.1667778257,0.1162123078,0.0027500467,-0.4163861194,0.9091837200,1.0001073748,0.0000505705,5,1
144,biot,-0.0072558835,0.0103915136,0.0992179230,0.0066084666,-0.4146849789,0.9099410401,0.9992122711,0.0000465792,5,1
